Observation_SK,Project_Code,Project_Name,Report_Date,Original_Cost,Revised_Cost,Anticipated_Cost,Cumulative_Expenditure,Financial_Progress_Pct,Time_Elapsed_Pct,Schedule_Delay_Months,Target_Is_Delayed
90,,KUSMUNDA OC EXPANSION [15 TO 50 MTY],August 2025,7612.0,7612.0,,4698.0,61.7183394640042,,,0
91,,"ETHYLENE CRACKER PROJECT AT BINA REFINERY INCLUDING
DOWNSTREAM PETROCHEMICAL PLANTS AND EXPANSION OF
REFINERY",August 2025,43367.0,43367.0,,1856.0,4.279751885073904,,,0
92,,RAJASTHAN REFINERY PROJECT,August 2025,43129.0,79459.0,,60295.0,75.88190135793302,,,0
93,,"CAPACITY EXPANSION OF PANIPAT REFINERY FROM 15 TO 25
MMTPA",August 2025,34627.0,36225.0,,24355.0,67.23257418909593,,,0
94,,KG-DWN-98/2 CLUSTER - II DEVELOPMENT PROJECT - NELP BLOCK,August 2025,34012.0,34012.0,,33238.0,97.72433258849817,,,0
95,,CBR 9 MMTPA PROJECT,August 2025,31580.0,36354.0,,1342.0,3.6914782417340595,,,0
96,,CHENNAI METRO RAIL PHASE-II DEVELOPMENT PROJECT,August 2025,63246.0,63246.0,,26410.0,41.75758150713089,,,0
97,,"REDEVELOPMENT OF SEVEN GENERAL POOL RESIDENTIAL
ACCOMMODATION [GPRA] COLONIES IN DELHI",August 2025,32850.0,32850.0,,0.0,,,,0
98,,DELHI-GHAZIABAD-MEERUT REGIONAL RAPID TRANSIT SYSTEM [RRTS] CORRIDOR,August 2025,30274.0,30274.0,,26326.0,86.95910682433772,,,0
99,,CONSTRUCTION OF BANGALORE METRO RAIL PROJECT PHASE 2.,August 2025,26405.0,30695.0,,29478.0,96.03518488353153,,,0
100,,DMRTS PHASE - IV [3 PRIORITY CORRIDORS],August 2025,24949.0,24949.0,,15785.0,63.26906890055714,,,0
101,,MUMBAI-AHMEDABAD HIGH SPEED RAIL PROJECT- 508 KM,December 2025,108000.0,108000.0,,85338.0,79.01666666666667,,,0
102,,CHENNAI METRO RAIL PHASE-II DEVELOPMENT PROJECT,December 2025,63246.0,,,30211.0,,,,0
103,,WESTERN DEDICATED FREIGHT CORRIDOR,December 2025,51101.0,124005.0,,124623.0,100.49836700133059,,,0
104,,RISHIKESH-KARNAPRAYAG NEW RAIL LINE- 125 KM,December 2025,38953.0,38953.0,,26841.0,68.90611762893744,,,0
105,,MUMBAI URBAN TRANSPORT PROJECT [MUTP] PHASE-IIIA,December 2025,33690.0,33690.0,,2922.0,8.67319679430098,,,0
106,,"ETHYLENE CRACKER PROJECT AT BINA REFINERY INCLUDING
DOWNSTREAM PETROCHEMICAL PLANTS AND EXPANSION OF
REFINERY",December 2025,43367.0,43367.0,,2593.0,5.979200774782669,,,0
107,,RAJASTHAN REFINERY PROJECT,December 2025,43129.0,79459.0,,63572.0,80.00604085125661,,,0
108,,"CAPACITY EXPANSION OF PANIPAT REFINERY FROM 15 TO 25
MMTPA",December 2025,34627.0,36225.0,,27829.0,76.82263630089717,,,0
109,,KG-DWN-98/2 CLUSTER - II DEVELOPMENT PROJECT - NELP BLOCK,December 2025,34012.0,34012.0,,32374.0,95.18405268728684,,,0
110,,DIBANG MULTIPURPOSE PROJECT,December 2025,31876.0,,,3862.0,,,,0
111,,SARDAR SAROVAR PROJECT,December 2025,20718.0,33413.0,,31861.0,95.35510130787418,,,0
112,,POLAVARAM IRRIGATION PROJECT,December 2025,10151.0,55549.0,,25834.0,46.50668778915912,,,0
113,,J. CHOKKA RAO DEVADULA LIFT IRRIGATION SCHEME,December 2025,8201.0,14730.0,,4665.0,31.67006109979633,,,0
114,,JIGAON IRRIGATION PROJECT,December 2025,7223.0,,,9349.0,,,,0
115,,GOSIKHURD PROJECT,December 2025,7196.0,12770.0,,13898.0,108.83320281910729,,,0
116,,BHARATNET,December 2025,61109.0,188000.0,,46432.0,24.69787234042553,,,0
117,,4G SERVICES BY BSNL,December 2025,28466.0,19592.0,,8471.0,43.23703552470396,,,0
118,,"SATURATION 4G MOBILE COVERAGE OF UNCOVERED VILLAGES
THROUGH USOF",December 2025,26316.0,30620.0,,9792.0,31.979098628347487,,,0
119,,"PLANNING, ENGINEERING, SUPPLY, INSTALLATION, TESTING,
COMMISSIONING, INTEGRATION & ANNUAL MAINTENANCE OF 4G
MOBILE NETWORK AT 1 LAKH SITES ON PAN INDIA BASIS
INCLUDING MUMBAI & DELHI LSA ON TURNKEY BASIS UNDER
PHASE IX.2 PROJECT.",December 2025,24545.0,,,8472.0,,,,0
120,,"PROVISION OF 4G BASED MOBILE SERVICES IN 7,287 UNCOVERED
VILLAGES OF 44 ASPIRATIONAL DISTRICT ACROSS 5 STATES OF
ANDHRA PRADESH, CHHATTISGARH, JHARKHAND, MAHARASHTRA
& ODISHA",December 2025,3685.0,,,1332.0,,,,0
121,,"REDEVELOPMENT OF SEVEN GENERAL POOL RESIDENTIAL
ACCOMMODATION [GPRA] COLONIES IN DELHI",December 2025,32850.0,,,0.0,,,,0
122,,"REDEVELOPMENT OF RESIDENTIAL COLONIES AT AYUR VIGYAN
NAGAR AND WEST ANSARI NAGAR CAMPUSES OF AIIMS, NEW DELHI",December 2025,4441.0,,,25.0,,,,0
123,,"KRISHNAPATNAM NODE - PHASE 1 - ROADS AND SERVICES
DEVELOPMENT",December 2025,2139.0,,,568.0,,,,0
124,,AIIMS KASHMIR AT AWANTIPORA JAMMU & KASHMIR,December 2025,1828.0,2161.0,,1492.0,69.04211013419713,,,0
125,,TUMAKURU NODE - PHASE 1 - ROADS AND SERVICES DEVELOPMENT,December 2025,1702.0,,,184.0,,,,0
126,,GEVRA OC [70 MTY],December 2025,11816.0,,,6813.0,,,,0
127,,GOPALJI KANIHA OCP [10 TO 30 M,December 2025,8416.0,6108.0,,1746.0,28.585461689587426,,,0
128,,RPR MAGADH EXP OCP,December 2025,7254.0,,,1599.0,,,,0
129,,"REVISED JHARIA MASTER PLAN FOR DEALING WITH FIRE,
SUBSIDENCE & REHABILITATION OF AFFECTED FAMILIES IN JHARIA
COALFIELD- REG.",December 2025,5940.0,,,26.0,,,,0
130,,BLOCK E OCP,December 2025,5851.0,,,20.0,,,,0
131,,"CONSTRUCTION OF I CONNECTING ROAD FROM Z-MORH TUNNEL TO ZOJILA TUNNEL
ROAD LENGTH 18.475KM AND II 14.150 KM LONG 2-L BI-DIRECTIONAL SINGLE TUBE
ZOJI-LA TUNNEL ACROSS ZOJILA PASS ON SONAMARG - KARGIL SECTION FROM KM
82 TO KM 118 OF NH-01 UNDER PMDP",December 2025,6809.0,6809.0,,,,,,0
132,,"6L BRIDGE AND ITS APPROACHES ACROSS RIVER GANGA AS PART OF PATNA RING
ROAD NH-131G STARTING FROM KM 8.480 NEAR SHERPUR TO KM 23.000 NEAR
DIGHWARA",December 2025,6292.0,3352.0,,421.0,12.55966587112172,,,0
133,,"CONSTRUCTION OF 4-LANE BRIDGE INCLUDING APPROACHES OVER RIVER
BRAHMAPUTRA BETWEEN DHUBRI ON NORTH BANK,ASSAM AND PHULBARI ON
SOUTH BANK,MEGHALAYA ON NH-127B UNDER JICA ODA LOAN ASSISTANCE PHASE-III",December 2025,4997.0,4997.0,,,,,,0
134,,"6L OF RAMANATUKKARA JUNCTION TO START OF VALANCHERY BYPASS SECTION OF
NH-66",December 2025,4924.0,4919.0,,1669.0,33.92966050010165,,,0
135,,"6L OF THALIKULAM TO KODUGALLUR SECTION FROM KM 369.015 TO KM 397.850 OF
NH - 66 OLD NH-17",December 2025,4302.0,4302.0,,618.0,14.365411436541143,,,0
136,,MUMBAI-AHMEDABAD HIGH SPEED RAIL PROJECT- 508 KM,December 2025,108000.0,108000.0,,85338.0,79.01666666666667,,,0
137,,WESTERN DEDICATED FREIGHT CORRIDOR,December 2025,51101.0,124005.0,,124623.0,100.49836700133059,,,0
138,,RISHIKESH-KARNAPRAYAG NEW RAIL LINE- 125 KM,December 2025,38953.0,38953.0,,26841.0,68.90611762893744,,,0
139,,MUMBAI URBAN TRANSPORT PROJECT [MUTP] PHASE-IIIA,December 2025,33690.0,33690.0,,2922.0,8.67319679430098,,,0
140,,BANGALORE SUBURBAN RAILWAY PROJECT,December 2025,15767.0,15767.0,,2321.0,14.72061901439716,,,0
141,,NLC TALABIRA THERMAL POWER PROJECT,December 2025,27213.0,27213.0,,2608.0,9.583654870833792,,,0
142,,GHATAMPUR THERMAL POWER PLANT 3 X 660 MW,December 2025,17238.0,21781.0,,20744.0,95.23896974427252,,,0
143,,GEVRA OC [70 MTY],December 2025,11816.0,11816.0,,6813.0,57.65910629654706,,,0
144,,GOPALJI KANIHA OCP [10 TO 30 M,December 2025,8416.0,6108.0,,1746.0,28.585461689587426,,,0
145,,RPR MAGADH EXP OCP,December 2025,7254.0,7254.0,,1599.0,22.043010752688172,,,0
146,,DIBANG MULTIPURPOSE PROJECT,December 2025,31876.0,31876.0,,3862.0,12.115698331032752,,,0
147,,"TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM POTENTIAL RENEWABLE
ENERGY ZONE IN KHAVDA AREA OF GUJARAT UNDER PHASE-V [8 GW] PART A [SPV
NAME POWERGRID WEST CENTRAL TRANSMISSION LIMITED]",December 2025,24819.0,24819.0,,1986.0,8.001934002175751,,,0
148,,"GADARWARA SUPER THERMAL POWER PROJECT, STAGE-II [3X800 MW]",December 2025,20446.0,20446.0,,1146.0,5.60500831458476,,,0
149,,PATRATU THERMAL POWER STATION EXPANSION PROJECT PHASE-I [3X800 MW],December 2025,18668.0,20302.0,,18166.0,89.47886907693822,,,0
150,,"RAGHUNATHPUR THERMAL POWER STATION PHASE II [2X660 MW] AT
RAGHUNATHPUR, PURULIA, WEST BENGAL",December 2025,17673.0,17673.0,,1480.0,8.374356362813332,,,0
151,,MUMBAI-AHMEDABAD HIGH SPEED RAIL PROJECT- 508 KM,February 2026,108000.0,108000.0,,87755.0,81.25462962962963,,,0
152,,CHENNAI METRO RAIL PHASE-II DEVELOPMENT PROJECT,February 2026,63246.0,,,31451.0,,,,0
153,,WESTERN DEDICATED FREIGHT CORRIDOR,February 2026,51101.0,124005.0,,124623.0,100.49836700133059,,,0
154,,RISHIKESH-KARNAPRAYAG NEW RAIL LINE- 125 KM,February 2026,38953.0,38953.0,,27881.0,71.57600184838138,,,0
155,,MUMBAI URBAN TRANSPORT PROJECT [MUTP] PHASE-IIIA,February 2026,33690.0,33690.0,,3218.0,9.551795785099436,,,0
156,,"ETHYLENE CRACKER PROJECT AT BINA REFINERY INCLUDING
DOWNSTREAM PETROCHEMICAL PLANTS AND EXPANSION OF
REFINERY",February 2026,43367.0,43367.0,,2940.0,6.779348352433878,,,0
157,,RAJASTHAN REFINERY PROJECT,February 2026,43129.0,79459.0,,66553.0,83.75766118375513,,,0
158,,"CAPACITY EXPANSION OF PANIPAT REFINERY FROM 15 TO 25
MMTPA",February 2026,34627.0,36225.0,,26028.0,71.85093167701864,,,0
159,,KG-DWN-98/2 CLUSTER - II DEVELOPMENT PROJECT - NELP BLOCK,February 2026,34012.0,34012.0,,32765.0,96.33364694813595,,,0
160,,DIBANG MULTIPURPOSE PROJECT,February 2026,31876.0,,,4119.0,,,,0
161,,KEN-BETWA LINKING DEVELOPMENT PROJECT,February 2026,21030.0,,,8531.0,,,,0
162,,SARDAR SAROVAR PROJECT,February 2026,20718.0,33413.0,,31861.0,95.35510130787418,,,0
163,,POLAVARAM IRRIGATION PROJECT,February 2026,10151.0,55549.0,,26152.0,47.07915534033016,,,0
164,,J. CHOKKA RAO DEVADULA LIFT IRRIGATION SCHEME,February 2026,8201.0,14730.0,,4665.0,31.67006109979633,,,0
165,,JIGAON IRRIGATION PROJECT,February 2026,7223.0,,,9391.0,,,,0
166,,BHARATNET,February 2026,61109.0,188000.0,,46432.0,24.69787234042553,,,0
167,,4G SERVICES BY BSNL,February 2026,28466.0,19592.0,,8471.0,43.23703552470396,,,0
168,,"SATURATION 4G MOBILE COVERAGE OF UNCOVERED VILLAGES
THROUGH USOF",February 2026,26316.0,30620.0,,9792.0,31.979098628347487,,,0
169,,"PLANNING, ENGINEERING, SUPPLY, INSTALLATION, TESTING,
COMMISSIONING, INTEGRATION & ANNUAL MAINTENANCE OF 4G
MOBILE NETWORK AT 1 LAKH SITES ON PAN INDIA BASIS
INCLUDING MUMBAI & DELHI LSA ON TURNKEY BASIS UNDER
PHASE IX.2 PROJECT.",February 2026,24545.0,,,8472.0,,,,0
170,,"PROVISION OF 4G BASED MOBILE SERVICES IN 7,287 UNCOVERED
VILLAGES OF 44 ASPIRATIONAL DISTRICT ACROSS 5 STATES OF
ANDHRA PRADESH, CHHATTISGARH, JHARKHAND, MAHARASHTRA
& ODISHA",February 2026,3685.0,,,1357.0,,,,0
171,,"REDEVELOPMENT OF SEVEN GENERAL POOL RESIDENTIAL
ACCOMMODATION [GPRA] COLONIES IN DELHI",February 2026,32850.0,32841.0,,12975.0,39.508541152827256,,,0
172,,"REDEVELOPMENT OF RESIDENTIAL COLONIES AT AYUR VIGYAN
NAGAR AND WEST ANSARI NAGAR CAMPUSES OF AIIMS, NEW DELHI",February 2026,4441.0,,,25.0,,,,0
173,,"KRISHNAPATNAM NODE - PHASE 1 - ROADS AND SERVICES
DEVELOPMENT",February 2026,2139.0,,,688.0,,,,0
174,,AIIMS KASHMIR AT AWANTIPORA JAMMU & KASHMIR,February 2026,1828.0,2161.0,,1517.0,70.19898195279963,,,0
175,,TUMAKURU NODE - PHASE 1 - ROADS AND SERVICES DEVELOPMENT,February 2026,1702.0,,,208.0,,,,0
176,,JAYANT EXPN. [20 TO 38 MTPA],February 2026,25560.0,,,56.0,,,,0
177,,GEVRA OC [70 MTY],February 2026,11816.0,,,6847.0,,,,0
178,,GOPALJI KANIHA OCP [10 TO 30 M,February 2026,8416.0,6108.0,,1765.0,28.89652914210871,,,0
179,,RPR MAGADH EXP OCP,February 2026,7254.0,,,1628.0,,,,0
180,,"REVISED JHARIA MASTER PLAN FOR DEALING WITH FIRE,
SUBSIDENCE & REHABILITATION OF AFFECTED FAMILIES IN JHARIA
COALFIELD- REG.",February 2026,5940.0,,,40.0,,,,0
181,,"6L BRIDGE AND ITS APPROACHES ACROSS RIVER GANGA AS PART OF PATNA RING
ROAD NH-131G STARTING FROM KM 8.480 NEAR SHERPUR TO KM 23.000 NEAR
DIGHWARA",February 2026,6292.0,3352.0,,502.0,14.976133651551313,,,0
182,,GUWAHATI RING ROAD IN THE STATE OF ASSAM,February 2026,5729.0,5729.0,,2.0,0.03491010647582475,,,0
183,,"CONSTRUCTION OF 4-LANE BRIDGE INCLUDING APPROACHES OVER RIVER
BRAHMAPUTRA BETWEEN DHUBRI ON NORTH BANK,ASSAM AND PHULBARI ON
SOUTH BANK,MEGHALAYA ON NH-127B UNDER JICA ODA LOAN ASSISTANCE PHASE-III",February 2026,4997.0,4997.0,,2681.0,53.65219131478888,,,0
184,,"6L OF RAMANATUKKARA JUNCTION TO START OF VALANCHERY BYPASS SECTION OF
NH-66",February 2026,4924.0,4919.0,,1763.0,35.840618011791015,,,0
185,,"4L ELEVATED CORRIDOR AND AT-GRADE IMPROVEMENTS FROM DESIGN CH0000 TO
DESIGN CH 19870 OF DANAPUR BIHTA SECTION, DESIGN CH0000 TO DESIGN CH0231
CONNECTING THE EXISTING ROB NEAR DANAPUR STATION ,1.35 KM RAMPS AND AT-
GRADE IMPROVEMENTS TO 4-LANE SECTION ON DANAPUR SIDE AND UPGRADATION
OF EXISTING TWO LANE CARRIAGEWAY TO FOUR LANE CARRIAGEWAY FROM DESIGN
CH19870 TO DESIGN CH23500 OF BIHTA - KOILWAR SECTION",February 2026,4433.0,2625.0,,1227.0,46.74285714285714,,,0
186,,MUMBAI-AHMEDABAD HIGH SPEED RAIL PROJECT- 508 KM,February 2026,108000.0,108000.0,,87755.0,81.25462962962963,,,0
187,,WESTERN DEDICATED FREIGHT CORRIDOR,February 2026,51101.0,124005.0,,124623.0,100.49836700133059,,,0
188,,RISHIKESH-KARNAPRAYAG NEW RAIL LINE- 125 KM,February 2026,38953.0,38953.0,,27881.0,71.57600184838138,,,0
189,,MUMBAI URBAN TRANSPORT PROJECT [MUTP] PHASE-IIIA,February 2026,33690.0,33690.0,,3218.0,9.551795785099436,,,0
190,,BANGALORE SUBURBAN RAILWAY PROJECT,February 2026,15767.0,15767.0,,2659.0,16.864336906196485,,,0
191,,NLC TALABIRA THERMAL POWER PROJECT,February 2026,27213.0,27213.0,,2820.0,10.362694300518134,,,0
192,,JAYANT EXPN. [20 TO 38 MTPA],February 2026,25560.0,25560.0,,56.0,0.2190923317683881,,,0
193,,GHATAMPUR THERMAL POWER PLANT 3 X 660 MW,February 2026,17238.0,21781.0,,20991.0,96.37298562967725,,,0
194,,GEVRA OC [70 MTY],February 2026,11816.0,11816.0,,6847.0,57.94685172647258,,,0
195,,GOPALJI KANIHA OCP [10 TO 30 M,February 2026,8416.0,6108.0,,1765.0,28.89652914210871,,,0
196,,DIBANG MULTIPURPOSE PROJECT,February 2026,31876.0,31876.0,,4119.0,12.921947546743631,,,0
197,,"NABINAGAR SUPER THERMAL POWER PROJECT, STAGE-II [3X800 MW]",February 2026,29948.0,29948.0,,2034.0,6.791772405502872,,,0
198,,RAJASTHAN PART I POWER TRANSMISSION LIMITED,February 2026,25000.0,25000.0,,90.0,0.36,,,0
199,,"TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM POTENTIAL RENEWABLE
ENERGY ZONE IN KHAVDA AREA OF GUJARAT UNDER PHASE-V [8 GW] PART A [SPV
NAME POWERGRID WEST CENTRAL TRANSMISSION LIMITED]",February 2026,24819.0,24819.0,,2234.0,9.00116845964785,,,0
200,,"GADARWARA SUPER THERMAL POWER PROJECT, STAGE-II [2X800 MW]",February 2026,20446.0,20446.0,,1295.0,6.333757214125011,,,0
201,,MUMBAI-AHMEDABAD HIGH SPEED RAIL PROJECT- 508 KM,January 2026,108000.0,108000.0,,86793.0,80.3638888888889,,,0
202,,CHENNAI METRO RAIL PHASE-II DEVELOPMENT PROJECT,January 2026,63246.0,,,30722.0,,,,0
203,,WESTERN DEDICATED FREIGHT CORRIDOR,January 2026,51101.0,124005.0,,124623.0,100.49836700133059,,,0
204,,RISHIKESH-KARNAPRAYAG NEW RAIL LINE- 125 KM,January 2026,38953.0,38953.0,,27546.0,70.71599106615665,,,0
205,,MUMBAI URBAN TRANSPORT PROJECT [MUTP] PHASE-IIIA,January 2026,33690.0,33690.0,,3070.0,9.112496289700207,,,0
206,,"ETHYLENE CRACKER PROJECT AT BINA REFINERY INCLUDING
DOWNSTREAM PETROCHEMICAL PLANTS AND EXPANSION OF
REFINERY",January 2026,43367.0,43367.0,,2704.0,6.2351557635990495,,,0
207,,RAJASTHAN REFINERY PROJECT,January 2026,43129.0,79459.0,,64516.0,81.1940749317258,,,0
208,,"CAPACITY EXPANSION OF PANIPAT REFINERY FROM 15 TO 25
MMTPA",January 2026,34627.0,36225.0,,26028.0,71.85093167701864,,,0
209,,KG-DWN-98/2 CLUSTER - II DEVELOPMENT PROJECT - NELP BLOCK,January 2026,34012.0,34012.0,,32559.0,95.72797836057862,,,0
210,,DIBANG MULTIPURPOSE PROJECT,January 2026,31876.0,,,3933.0,,,,0
211,,SARDAR SAROVAR PROJECT,January 2026,20718.0,33413.0,,31861.0,95.35510130787418,,,0
212,,POLAVARAM IRRIGATION PROJECT,January 2026,10151.0,55549.0,,25939.0,46.695710093791064,,,0
213,,J. CHOKKA RAO DEVADULA LIFT IRRIGATION SCHEME,January 2026,8201.0,14730.0,,4665.0,31.67006109979633,,,0
214,,JIGAON IRRIGATION PROJECT,January 2026,7223.0,,,9391.0,,,,0
215,,GOSIKHURD PROJECT,January 2026,7196.0,12770.0,,13966.0,109.3657008613939,,,0
216,,BHARATNET,January 2026,61109.0,188000.0,,46432.0,24.69787234042553,,,0
217,,4G SERVICES BY BSNL,January 2026,28466.0,19592.0,,8471.0,43.23703552470396,,,0
218,,"SATURATION 4G MOBILE COVERAGE OF UNCOVERED VILLAGES
THROUGH USOF",January 2026,26316.0,30620.0,,9792.0,31.979098628347487,,,0
219,,"PLANNING, ENGINEERING, SUPPLY, INSTALLATION, TESTING,
COMMISSIONING, INTEGRATION & ANNUAL MAINTENANCE OF 4G
MOBILE NETWORK AT 1 LAKH SITES ON PAN INDIA BASIS
INCLUDING MUMBAI & DELHI LSA ON TURNKEY BASIS UNDER
PHASE IX.2 PROJECT.",January 2026,24545.0,,,8472.0,,,,0
220,,"PROVISION OF 4G BASED MOBILE SERVICES IN 7,287 UNCOVERED
VILLAGES OF 44 ASPIRATIONAL DISTRICT ACROSS 5 STATES OF
ANDHRA PRADESH, CHHATTISGARH, JHARKHAND, MAHARASHTRA
& ODISHA",January 2026,3685.0,,,1343.0,,,,0
221,,"REDEVELOPMENT OF SEVEN GENERAL POOL RESIDENTIAL
ACCOMMODATION [GPRA] COLONIES IN DELHI",January 2026,32850.0,32841.0,,12339.0,37.57193751712798,,,0
222,,"REDEVELOPMENT OF RESIDENTIAL COLONIES AT AYUR VIGYAN
NAGAR AND WEST ANSARI NAGAR CAMPUSES OF AIIMS, NEW DELHI",January 2026,4441.0,,,25.0,,,,0
223,,"KRISHNAPATNAM NODE - PHASE 1 - ROADS AND SERVICES
DEVELOPMENT",January 2026,2139.0,,,626.0,,,,0
224,,AIIMS KASHMIR AT AWANTIPORA JAMMU & KASHMIR,January 2026,1828.0,2161.0,,1505.0,69.64368347987043,,,0
225,,TUMAKURU NODE - PHASE 1 - ROADS AND SERVICES DEVELOPMENT,January 2026,1702.0,,,184.0,,,,0
226,,JAYANT EXPN. [20 TO 38 MTPA],January 2026,25560.0,,,28.0,,,,0
227,,GEVRA OC [70 MTY],January 2026,11816.0,,,6822.0,,,,0
228,,GOPALJI KANIHA OCP [10 TO 30 M,January 2026,8416.0,6108.0,,1751.0,28.667321545514078,,,0
229,,RPR MAGADH EXP OCP,January 2026,7254.0,,,1619.0,,,,0
230,,"REVISED JHARIA MASTER PLAN FOR DEALING WITH FIRE,
SUBSIDENCE & REHABILITATION OF AFFECTED FAMILIES IN JHARIA
COALFIELD- REG.",January 2026,5940.0,,,30.0,,,,0
